Tue Jan 17 13:12:14 JST 2023,,,,,,,,,,,,,,,,,,
WSCE-5000_SEED(0),,,,,,,,,,,,,,,W-SCE,SCE,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,utility,W-SCEÇ≈è„è∏Ç∑ÇÈå¯óp,
38,0,306,1013,4730,4730,0,6049,2600,9849,0.551363327,0.183764687,0,0,0.264871986,-2560.140457,-2059.899377,-500.2410798,
39,106,697,1101,1064,1101,106,2968,3400,7578,0.474467854,0.281896538,0,0,0.243635608,-2124.251389,-1462.965064,-661.2863246,
40,0,0,252,1507,1507,0,1759,2600,5579,0.291231844,0.320997858,0,0,0.387770298,-762.5014042,-1339.973024,577.4716197,
41,0,163,1319,1043,1319,0,2525,3000,6725,0.413463187,0.364127518,0,0,0.222409295,-1843.019242,-2241.261804,398.2425622,
42,0,10,806,3629,3629,0,4445,2600,8245,0.253989582,0.457507873,0,0,0.288502545,-1271.528424,-1520.150633,248.6222092,
43,0,369,712,4121,4121,0,5202,4200,10602,0.020177905,0.511719177,0,0,0.468102918,-325.1338774,-44.27622376,-280.8576536,
44,0,97,760,1565,1565,0,2422,2600,6212,0.373375985,0.338350578,0,0,0.288273437,-1332.880211,-1393.474436,60.59422568,
45,0,96,763,3788,3788,0,4647,2600,8447,0.250817561,0.597668913,0,0,0.151513527,-2145.555138,-2119.318044,-26.23709469,
46,0,144,1370,4799,4799,0,6313,3000,10543,0.069255433,0.403253904,0,0,0.527490663,884.4564294,-242.8906268,1127.347056,
47,0,0,621,636,636,0,1257,2600,5057,0.305122428,0.519343517,0,0,0.175534055,-1622.192378,-1580.011166,-42.18121148,
48,0,0,885,864,885,0,1749,2600,5559,0.096750148,0.581052412,0,0,0.32219744,-1394.807547,-1743.459064,348.6515172,
49,0,0,336,796,796,0,1132,2200,4582,0.286587497,0.455019648,0,0,0.258392855,-1119.77956,-1160.544601,40.76504071,
50,0,0,700,2238,2238,0,2938,2600,6768,0.268259584,0.417966395,0,0,0.313774021,-1172.633028,-1186.737726,14.10469841,
51,0,286,2014,1304,2014,0,3604,4200,8994,0.674044389,0.083526114,0,0,0.242429496,-2291.812654,-1019.40062,-1272.412034,
52,0,184,576,4044,4044,0,4804,3800,9784,0.151552879,0.23918488,0,0,0.609262241,826.8939254,-615.2379546,1442.13188,
53,38,269,2303,7047,7047,38,9657,4200,15057,0.045457044,0.083979142,0,0,0.870563813,5310.090692,3461.993568,1848.097124,
54,0,78,763,934,934,0,1775,2600,5545,0.464243792,0.074365942,0,0,0.461390266,-586.4456699,-1180.670714,594.2250439,
