Mon Jan 16 15:04:15 JST 2023,,,,,,,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,,,,,,,
VisitorId,sumWaitingTime,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],movingTime,travelTime,,,,,,,,,,,,
87,5696,0,783,2111,2802,2600,9476,5696,0,,,,,,,,,,
88,4892,0,200,1746,2946,2600,8742,4892,0,,,,,,,,,,
89,2607,0,565,492,1550,2600,6367,2607,0,,,,,,,,,,
90,4008,172,1085,497,2254,2600,7818,4008,0,,,,,,,,,,
91,4252,0,777,2841,634,2600,8042,4252,0,,,,,,,,,,
92,2250,0,559,565,1126,3400,6820,2250,0,,,,,,,,,,
93,10624,169,0,1716,8739,2600,14474,10624,0,,,,,,,,,,
94,5239,167,1093,918,3061,2600,9059,5239,0,,,,,,,,,,
95,2070,176,313,419,1162,2200,5520,2070,0,,,,,,,,,,
96,3067,0,294,1380,1393,2600,6877,3067,0,,,,,,,,,,
97,3572,558,481,832,1701,3800,8542,3572,0,,,,,,,,,,
98,3765,0,550,1485,1730,2600,7545,3765,0,,,,,,,,,,
99,12253,0,543,2018,9692,2600,16063,12253,0,,,,,,,,,,
100,6460,185,1137,2885,2253,2600,10260,6460,0,,,,,,,,,,
101,3185,136,669,577,1803,2600,6965,3185,0,,,,,,,,,,
102,4805,149,1088,2730,838,2600,8575,4805,0,,,,,,,,,,
103,1860,0,0,195,1665,2600,5660,1860,0,,,,,,,,,,
104,6404,0,177,1476,4751,3000,10614,6404,0,,,,,,,,,,
105,1701,0,561,514,626,2600,5481,1701,0,,,,,,,,,,
106,2172,0,207,580,1385,2600,5972,2172,0,,,,,,,,,,
107,18525,393,1759,8885,7488,3000,22735,18525,0,,,,,,,,,,
108,3343,0,826,543,1974,2600,7133,3343,0,,,,,,,,,,
109,3899,0,913,1076,1910,3000,8089,3899,0,,,,,,,,,,
110,2114,0,214,1256,644,3400,6684,2114,0,,,,,,,,,,
111,5376,0,932,2447,1997,2600,9166,5376,0,,,,,,,,,,
112,1709,0,0,77,1632,2600,5509,1709,0,,,,,,,,,,
113,4265,0,735,2778,752,3000,8445,4265,0,,,,,,,,,,
114,5135,0,757,815,3563,2600,8925,5135,0,,,,,,,,,,
115,2305,164,373,492,1276,2200,5755,2305,0,,,,,,,,,,
116,1116,170,197,300,449,2600,4916,1116,0,,,,,,,,,,
117,5072,0,820,1033,3219,4200,10462,5072,0,,,,,,,,,,
118,1859,0,332,472,1055,3400,6459,1859,0,,,,,,,,,,
