Tue Jan 17 00:24:37 JST 2023,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
53,339,390,677,4977,6383,3400,10983,0.870563813,0.083979142,0.045457044,0,0,-6341.592623
54,0,380,1736,1745,3861,2600,7631,0.461390266,0.074365942,0.464243792,0,0,-5517.423643
55,0,545,1768,1418,3731,3400,8331,0.779330135,0.155930856,0.064739009,0,0,-3977.186329
56,0,728,609,3065,4402,2600,8232,0.301162611,0.515578781,0.183258608,0,0,-4174.807507
57,0,556,1617,4752,6925,2600,10705,0.369055016,0.196404316,0.434540668,0,0,-7718.115062
58,0,696,793,1326,2815,3400,7405,0.439036951,0.105076071,0.455886978,0,0,-4968.99073
59,0,732,456,3439,4627,3000,8837,0.694946421,0.284932237,0.020121342,0,0,-4248.126099
60,0,186,1798,1769,3753,3000,7943,0.391368033,0.110688329,0.497943638,0,0,-5756.03553
61,0,559,2635,3811,7005,3000,11215,0.49457345,0.410237782,0.095188767,0,0,-5762.742392
62,0,318,509,1327,2154,2600,5994,0.037090192,0.64803128,0.314878527,0,0,-3652.155495
63,0,77,288,2364,2729,2600,6539,0.554890667,0.072361289,0.372748044,0,0,-4139.835442
64,0,429,1851,1308,3588,2600,7388,0.32535861,0.440981569,0.233659821,0,0,-4040.217528
65,0,730,2657,1964,5351,3000,9561,0.23489469,0.306821138,0.458284172,0,0,-6559.039867
66,0,0,1027,863,1890,2600,5650,0.168889099,0.610423192,0.220687708,0,0,-3153.186249
67,0,729,454,3435,4618,3000,8838,0.391269278,0.523653745,0.085076977,0,0,-4129.753083
68,0,744,839,9493,11076,3400,15686,0.170106638,0.03086172,0.799031641,0,0,-14522.6413
69,0,0,276,2260,2536,2600,6326,0.17714764,0.515278677,0.307573683,0,0,-3734.682094
70,460,877,2730,3427,7494,4600,13294,0.776822367,0.092212429,0.130965204,0,0,-7986.735412
71,0,0,297,2026,2323,3000,6523,0.304002841,0.271661936,0.424335223,0,0,-4289.123069
72,0,195,1304,571,2070,2600,5870,0.299152096,0.276185317,0.424662587,0,0,-3830.096048
73,0,743,547,853,2143,2600,5933,0.001685441,0.384609485,0.613705074,0,0,-4644.708766
74,0,480,447,2788,3715,3400,8285,0.047026441,0.484717308,0.46825625,0,0,-5702.245111
75,0,377,494,1324,2195,2600,5975,0.401300657,0.346455888,0.252243455,0,0,-3288.794894
76,0,216,437,583,1236,3000,5416,0.056576855,0.303062594,0.640360551,0,0,-4447.309517
77,0,200,498,2047,2745,2600,6575,0.523577268,0.285189821,0.191232911,0,0,-3436.069526
78,0,546,782,3243,4571,2600,8361,0.3828473,0.092136248,0.525016452,0,0,-6379.211807
79,0,212,514,922,1648,2600,5458,0.246399437,0.117911216,0.635689347,0,0,-4182.22789
80,0,0,1303,997,2300,2600,6080,0.263292667,0.032841817,0.703865516,0,0,-4970.464197
81,0,212,1077,3006,4295,3400,8895,0.175501182,0.384566341,0.439932477,0,0,-5974.502519
82,0,0,1190,870,2060,2600,5840,0.162337605,0.554822019,0.282840375,0,0,-3428.740509
83,490,1753,665,3729,6637,4200,12037,0.470318394,0.204966342,0.324715264,0,0,-7890.959452
84,0,567,888,6426,7881,3800,12891,0.557387577,0.206371011,0.236241412,0,0,-8222.369378
85,0,558,1918,3112,5588,3400,10208,0.545402853,0.063581816,0.391015331,0,0,-7255.373817
86,0,243,541,2232,3016,3400,7616,0.185885381,0.401564739,0.41254988,0,0,-5067.93031
87,0,783,2111,2802,5696,2600,9476,0.004417591,0.579221632,0.416360777,0,0,-5476.573566
88,0,200,1746,2946,4892,2600,8742,0.248280563,0.720050304,0.031669132,0,0,-3363.570863
89,0,565,492,1550,2607,2600,6367,0.203074561,0.292943257,0.503982182,0,0,-4499.922402
90,172,1085,497,2254,4008,2600,7818,0.286559856,0.241353457,0.472086688,0,0,-5466.824614
